,DD,DB,BD,DD/DB,DD/BD,DB/BD
GO ,1907.31651,784.20184,1346.6308,2.43,1.42,0.58
Mediterranean Avenue ,1964.88988,790.75854,1345.47967,2.48,1.46,0.59
Community Chest ,2024.61306,798.48534,1346.73745,2.54,1.50,0.59
Baltic Avenue ,2132.66351,852.27466,1347.02698,2.50,1.58,0.63
Arctic Avenue ,2258.12913,914.95719,1346.71787,2.47,1.68,0.68
Income Tax ,2366.75441,959.27746,1347.08183,2.47,1.76,0.71
Reading Railroad ,2478.98557,1004.82943,1346.02497,2.47,1.84,0.75
Massachusetts Avenue ,2605.17118,1061.21189,1348.18389,2.45,1.93,0.79
Oriental Avenue ,2733.78809,1121.15304,1346.8313,2.44,2.03,0.83
Chance ,2830.16581,1156.10114,1345.83564,2.45,2.10,0.86
Gas Company ,2911.13513,1184.27734,1345.89897,2.46,2.16,0.88
Vermont Avenue ,3003.657275,1235.07627,1348.1136,2.43,2.23,0.92
Connecticut Avenue ,3080.612575,1282.66839,1346.2551,2.40,2.29,0.95
Jail ,3163.3066,1347.71673,1811.023135,2.35,1.75,0.74
Auction ,3240.17202,1413.37736,1808.475835,2.29,1.79,0.78
Maryland Avenue ,3330.40583,1494.04626,1809.169035,2.23,1.84,0.83
St. Charles Place ,3429.342605,1586.39095,1808.01272,2.16,1.90,0.88
Electric Company ,3546.74814,1672.85355,1808.95345,2.12,1.96,0.92
States Avenue ,3673.188485,1764.7088,1810.61554,2.08,2.03,0.97
Virginia Avenue ,3780.51623,1824.9204,1808.24546,2.07,2.09,1.01
Pennsylvania Railroad ,3868.115925,1864.08025,1810.28406,2.08,2.14,1.03
St. James Place ,3909.98136,1859.8628,1809.22236,2.10,2.16,1.03
Community Chest ,3957.94155,1865.34556,1807.46289,2.12,2.19,1.03
Tennessee Avenue ,3940.81896,1835.23925,1809.663885,2.15,2.18,1.01
New York Avenue ,3886.34221,1782.73026,1806.61775,2.18,2.15,0.99
New Jersey Avenue ,3842.796685,1763.781035,1808.216785,2.18,2.13,0.98
Free Parking ,3855.783775,1808.563385,1855.299825,2.13,2.08,0.97
Kentucky Avenue ,3884.497845,1884.98304,1856.9482,2.06,2.09,1.02
Chance ,3896.3981,1944.71481,1855.112575,2.00,2.10,1.05
Indiana Avenue ,3956.16899,2039.636465,1856.8354,1.94,2.13,1.10
Illinois Avenue ,4051.29407,2174.57861,1851.31895,1.86,2.19,1.17
Michigan Avenue ,4085.19243,2246.451875,1854.47695,1.82,2.20,1.21
Bus Ticket ,4031.385275,2230.522825,1854.879975,1.81,2.17,1.20
B. & O. Railroad ,3927.83559,2194.120825,1855.492,1.79,2.12,1.18
Atlantic Avenue ,3772.809105,2123.89633,1854.4533,1.78,2.03,1.15
Ventnor Avenue ,3535.082605,2003.401775,1854.228125,1.76,1.91,1.08
Water Works ,3287.390285,1876.770825,1854.695975,1.75,1.77,1.01
Marvin Gardens ,3099.92386,1830.03105,1856.0902,1.69,1.67,0.99
California Avenue ,2970.0282,1829.117875,1854.494525,1.62,1.60,0.99
Go to Jail ,2881.32876,1854.75075,784.79104,1.55,3.67,2.36
Pacific Avenue ,2815.866185,1878.953425,785.40374,1.50,3.59,2.39
South Carolina Avenue ,2785.96909,1914.92245,783.61148,1.45,3.56,2.44
North Carolina Avenue ,2694.47806,1860.81865,783.85245,1.45,3.44,2.37
Community Chest ,2537.00284,1720.736,783.64464,1.47,3.24,2.20
Pennsylvania Avenue ,2368.6244,1543.72725,784.20707,1.53,3.02,1.97
Short Line ,2153.04668,1319.98215,784.65915,1.63,2.74,1.68
Chance ,1989.11795,1128.07355,784.11659,1.76,2.54,1.44
Birthday Gift ,1858.69724,958.31615,783.87058,1.94,2.37,1.22
Florida Avenue ,1797.9912,861.01138,784.12863,2.09,2.29,1.10
Park Place ,1777.91027,792.73103,784.49106,2.24,2.27,1.01
Luxury Tax ,1780.34845,752.28788,784.60486,2.37,2.27,0.96
Boardwalk ,1843.71065,768.14553,783.71045,2.40,2.35,0.98
,,,,,,
 ,,,,,,
,,,,,,
 ,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,,,,,,
,,,,,,
 ,,,,,,
