Generation, Best Fitness, Purple, Light Blue, Pink, Orange, Red, Yellow, Green, Dark Blue, Railroad, Utility, Purple Upgrade, Light Blue Upgrade, Pink Upgrade, Orange Upgrade, Red Upgrade, Yellow Upgrade, Green Upgrade, Dark Blue Upgrade, Railroad Upgrade, Utility Upgrade, Mean Fitness, Median Fitness 
0,213,0.921814946317,0.850645899643,0.98669473388,0.99025664066,0.881008548379,0.165665826991,0.851412235106,0.00137810374187,0.897140569732,0.120663892162,0.93444436238,0.100106163095,0.179450550053,0.0498902808763,0.133145595308,0.972411283712,0.812560419538,0.136762655887,0.830770507448,0.815025157169,168,159
1,212,0.992539045077,0.116108848304,0.981647735973,0.965023254737,0.0087105876446,0.891738337928,0.0525263355683,0.988425593967,0.845670116663,0.919419554786,0.973750891882,0.0547978460488,0.114510961964,0.833835824892,0.821946157441,0.93651041412,0.968726826223,0.110473476102,0.0906332753835,0.880370182154,178,172
2,214,0.846376129926,0.843745036921,0.128240325807,0.927592231666,0.825464061207,0.925931956997,0.0317348792908,0.166491509494,0.9921656206,0.814491892568,0.940863388322,0.0704774782487,0.0726528562535,0.0155615935837,0.193501339824,0.914018042137,0.136874216649,0.855503535477,0.905081202733,0.102100679062,179,186
3,212,0.918937686628,0.806870489266,0.169518410953,0.0838742193709,0.96594679656,0.0274661181157,0.0675216308372,0.857854104121,0.861601070793,0.988147197221,0.0724422891102,0.172814517942,0.133757783438,0.808475647611,0.994307916028,0.187381274049,0.827623939824,0.00275486926138,0.951495603191,0.926551013018,181,181
4,209,0.85656168411,0.840728551483,0.145244518463,0.930974404229,0.937510925231,0.0825228804612,0.0125269900418,0.912512262125,0.453428774415,0.996563395496,0.933898379283,0.186454727233,0.898004467172,0.0735143974301,0.0577144736613,0.182231946928,0.876731461847,0.947846757226,0.110512102906,0.185279495083,173,175
5,212,0.88259511253,0.8464430562,0.846770776985,0.968253172485,0.89705006667,0.0491134282902,0.00280916981054,0.974963804632,0.861601070793,0.988147197221,0.133312997968,0.826937179784,0.807392504123,0.198329682358,0.904393338356,0.182593543423,0.812689482216,0.805199147059,0.980229553862,0.896588244234,178,181
6,222,0.904220633202,0.974235662741,0.027545117617,0.951665042783,0.879330208718,0.175893476005,0.00184014872678,0.0140303297302,0.811092989627,0.817135147207,0.000862277516331,0.160922148852,0.171345159899,0.142153369484,0.0488008963725,0.939122202595,0.816777987931,0.819664973931,0.7564274283,0.0727819650333,185,178
7,215,0.990398614957,0.120500732501,0.733517696517,0.0487254608942,0.813192307851,0.0953208377817,0.0996876177985,0.902341508811,0.0737361401485,0.933338158723,0.191368328029,0.00591688558004,0.91950226346,0.974563569854,0.876067043973,0.132621211163,0.861376594322,0.759312680675,0.175502257935,0.330056016345,170,174
8,217,0.832366706713,0.89419331248,0.0375072506749,0.8848195088,0.487748156635,0.130265916326,0.148009661696,0.816617056521,0.904228453192,0.962234535499,0.12095148041,0.0169770870659,0.996646422454,0.954924496733,0.82962086731,0.169395289598,0.976507201945,0.8007420095,0.0683205279623,0.974137535442,169,161
9,212,0.876734483533,0.846963743774,0.0579510090931,0.0971432271655,0.842478272076,0.19587552523,0.191413830908,0.123602157117,0.63703334117,0.858184989161,0.457687572186,0.910587888751,0.91950226346,0.0832057893145,0.0176765165075,0.107257444684,0.840248135375,0.144399406483,0.919728830091,0.959372642033,170,180
